name,address,category,monthly_price,notes,lat,lng
F45,"3440 Beltline Blvd, St Louis Park, MN 55416",Trainer,195,monthly unlimited,44.94608835945621, -93.33974146736038
F45,"5445 Lyndale Ave S, Minneapolis, MN 55419",Trainer,,,44.90743928403369, -93.28892969980204

[solidcore],"11648 Elm Creek Blvd N, Maple Grove, MN 55369",Trainer,310,monthly unlimited,45.09933613875658, -93.42567443959818
[solidcore],"107 N 3rd Ave, Minneapolis, MN 55401",Trainer,310,monthly unlimited,44.990383213581744, -93.27176678877906
[solidcore],"1653 Park Pl Blvd, St Louis Park, MN 55416",Trainer,310,monthly unlimited,44.96949804335244, -93.34695447134108

Pure Barre,"7891 Main St, Maple Grove, MN 55369",Trainer,135,monthly unlimited,45.10072960316418, -93.44326973070609
Pure Barre,"5620 W 36th St, St Louis Park, MN 55416",Trainer,135,monthly unlimited,44.93992471017382, -93.35012691052708
Pulse Barre,"THE SHOPS AT WESTEND, #1645, St Louis Park, MN 55416",Trainer,169,monthly unlimited,44.97020891367724, -93.3483399957085

Corepower Yoga,"12872 Bass Lake Rd, Maple Grove, MN 55369",Trainer,179,monthly unlimited,45.0749753128421, -93.44730377414142
Corepower Yoga,"13879 Ridgedale Dr, Minnetonka, MN 55305",Trainer,179,monthly unlimited,44.97937097664537, -93.45554351943117
Corepower Yoga,"501 Washington Ave S Suite 200, Minneapolis, MN 55415",Trainer,179,monthly unlimited,44.98166499828804, -93.26084551822288
Corepower Yoga,"4611 Excelsior Blvd, St Louis Park, MN 55416",Trainer,179,monthly unlimited,44.9367475121485, -93.33749151719029
Corepower Yoga,"7739 Flying Cloud Dr, Eden Prairie, MN 55344",Trainer,179,monthly unlimited,44.87338919659955, -93.42230464297603
Corepower Yoga,"7495 France Ave S, Edina, MN 55435",Trainer,179,monthly unlimited,44.872881663300205, -93.32780155369656

Club Pilates,"11658 Fountains Dr, Maple Grove, MN 55369",Trainer,250,from 199-299 no clear data,45.111330935493015, -93.43247408394019
Club Pilates,"4000 Annapolis Ln N Suite 105, Plymouth, MN 55447",Trainer,250,from 199-299 no clear data,45.036413084335756, -93.45374619443334
Club Pilates,"3200B W Lake St, Minneapolis, MN 55416",Trainer,250,from 199-299 no clear data,44.958238851154, -93.31847702982115
Club Pilates,"3940 W 50th St Ste 110, Edina, MN 55424",Trainer,250,from 199-299 no clear data,44.91886863260458, -93.32877671236389
